urlLength,hostnameLength,pathLength,dotCount,dashCount,atCount,questionCount,digitCount,digitRatio,hasIpAddress,hasSensitiveWords,hasDoubleSlashRedirect,hasHttpsTokenInDomain,nanEntropy,nanRelativeEntropy,status
129.0,25.0,87.0,2.0,1.0,0.0,1.0,7.0,0.05426356589147287,0.0,0.0,0.0,0.0,2.421127473337187,0.6623652263512239,1
27.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
42.0,13.0,22.0,4.0,0.0,0.0,0.0,11.0,0.2619047619047619,1.0,0.0,0.0,0.0,1.7527152789797047,0.45931769757774077,1
131.0,54.0,20.0,5.0,1.0,0.0,1.0,21.0,0.16030534351145037,0.0,1.0,0.0,0.0,2.7232196723355075,0.5722815748370369,1
153.0,25.0,13.0,2.0,0.0,0.0,1.0,70.0,0.45751633986928103,0.0,0.0,0.0,0.0,2.205822050877804,1.9684306064066475,1
23.0,14.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4488156357251847,0.4013580026428195,0
36.0,16.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8910611120726528,0.6479320550164254,1
131.0,22.0,1.0,2.0,0.0,1.0,1.0,50.0,0.3816793893129771,0.0,0.0,0.0,0.0,2.872905595320056,1.639644039314276,1
73.0,14.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1451104143815827,0.45319822045785974,1
35.0,13.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3787834934861753,0.3585169326019688,1
48.0,30.0,1.0,4.0,0.0,0.0,1.0,4.0,0.08333333333333333,0.0,1.0,0.0,0.0,2.0464393446710156,0.572420990629612,1
41.0,16.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3787834934861753,0.3585169326019688,0
22.0,15.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,1
33.0,25.0,1.0,2.0,0.0,0.0,0.0,2.0,0.06060606060606061,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,1
91.0,18.0,66.0,2.0,1.0,0.0,0.0,15.0,0.16483516483516483,0.0,0.0,0.0,0.0,1.4911148500551854,0.24833152313876994,1
23.0,16.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,0
22.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
91.0,16.0,68.0,2.0,7.0,0.0,0.0,6.0,0.06593406593406594,0.0,0.0,0.0,0.0,1.6774212838293647,0.6879358299030769,0
72.0,14.0,51.0,2.0,3.0,0.0,0.0,2.0,0.027777777777777776,0.0,0.0,0.0,0.0,1.6691803368667308,0.31365662074494133,1
43.0,13.0,22.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8910611120726526,0.4321001303134834,0
47.0,7.0,32.0,1.0,0.0,0.0,0.0,3.0,0.06382978723404255,0.0,0.0,0.0,0.0,1.6644977792004614,1.4990754659100296,1
36.0,15.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1488348542809166,0.47559235952736834,1
83.0,20.0,55.0,3.0,4.0,0.0,0.0,6.0,0.07228915662650602,0.0,0.0,0.0,0.0,1.8262452584026092,0.37924480236283264,0
61.0,23.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8464393446710154,0.5603652373960677,0
101.0,6.0,39.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35274578087187,0.9806225996875351,1
126.0,50.0,19.0,4.0,1.0,0.0,1.0,21.0,0.16666666666666666,0.0,1.0,0.0,0.0,2.794653473544342,0.6878852944419702,1
32.0,13.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1488348542809166,0.47559235952736834,1
36.0,27.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
28.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2516291673878228,0.4406846959103213,1
85.0,27.0,50.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7841591278514217,0.6132182756621265,0
24.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4488156357251847,0.4013580026428195,0
126.0,50.0,19.0,4.0,1.0,0.0,1.0,22.0,0.1746031746031746,0.0,1.0,0.0,0.0,2.794653473544342,0.6878852944419702,1
76.0,13.0,55.0,3.0,4.0,0.0,0.0,3.0,0.039473684210526314,0.0,0.0,0.0,0.0,1.8262452584026092,0.37924480236283264,0
20.0,13.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,0
88.0,28.0,52.0,2.0,5.0,0.0,0.0,5.0,0.056818181818181816,0.0,0.0,0.0,0.0,1.760495029766198,0.5460923670823952,0
40.0,17.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3516441151533924,0.35784811843708364,0
72.0,17.0,47.0,2.0,2.0,0.0,0.0,14.0,0.19444444444444445,0.0,0.0,0.0,0.0,1.7609640474436812,0.24115401688675567,0
30.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
35.0,11.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3709505944546687,0.416404578129279,0
50.0,18.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.295461844238322,0.3647918976800194,1
36.0,27.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8423709931771084,0.195554840773891,1
54.0,14.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.836591668108979,0.2527498126060475,0
48.0,23.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5709505944546687,0.2207296843717695,1
100.0,12.0,80.0,1.0,2.0,0.0,0.0,5.0,0.05,0.0,1.0,0.0,0.0,1.6737949406953985,0.4511563380575726,1
64.0,17.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2389012566026305,0.37986580922427826,1
55.0,18.0,30.0,4.0,1.0,0.0,0.0,6.0,0.10909090909090909,0.0,0.0,0.0,0.0,1.9508257945180885,0.18784058837060985,0
45.0,18.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4488156357251847,0.4013580026428195,0
48.0,26.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.3888705625287311,0
125.0,50.0,20.0,4.0,1.0,0.0,1.0,22.0,0.176,0.0,1.0,0.0,0.0,2.7550576199383077,0.6082479137786792,1
27.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
23.0,15.0,1.0,2.0,0.0,0.0,0.0,4.0,0.17391304347826086,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
39.0,30.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4488156357251847,0.4013580026428195,0
